,area,bedroom,price,location
143,101,3,6500000,บางขุนเทียน
144,70,3,3900000,บางขุนเทียน
145,89,4,5999000,บางขุนเทียน
146,174,5,69800000,บางขุนเทียน
147,200,5,24000000,บางขุนเทียน
148,158,5,29900000,บางขุนเทียน
149,20.6,3,2890000,บางขุนเทียน
150,106.4,3,8250000,บางขุนเทียน
151,200,10,186000000,บางขุนเทียน
152,39,3,3990000,บางขุนเทียน
153,174,5,69800000,บางขุนเทียน
154,20.7,3,3950000,บางขุนเทียน
155,58.1,4,5100000,บางขุนเทียน
156,129.8,4,16900000,บางขุนเทียน
157,106,3,5500000,บางขุนเทียน
158,21,4,2450000,บางขุนเทียน
159,21,4,2350000,บางขุนเทียน
160,16.5,3,2000000,บางขุนเทียน
161,52.1,3,6482000,บางขุนเทียน
162,81,4,7900000,บางขุนเทียน
163,60,5,4400000,บางขุนเทียน
164,55,3,6200000,บางขุนเทียน
165,143.6,3,8500000,บางขุนเทียน
166,112.8,4,6500000,บางขุนเทียน
167,54,3,5140000,บางขุนเทียน
168,50,3,2990000,บางขุนเทียน
169,30,4,3450000,บางขุนเทียน
170,120,3,19000000,บางขุนเทียน
171,52,3,3450000,บางขุนเทียน
172,50.6,3,4690000,บางขุนเทียน
173,54,3,6500000,บางขุนเทียน
174,81,4,12900000,บางขุนเทียน
175,37.2,4,6800000,บางขุนเทียน
176,17,2,2490000,บางขุนเทียน
177,16.5,2,1850000,บางขุนเทียน
178,65,3,7900000,บางขุนเทียน
179,93,4,5690000,บางขุนเทียน
180,93,4,5690000,บางขุนเทียน
181,93,4,5690000,บางขุนเทียน
182,79.5,3,5290000,บางขุนเทียน
183,60,3,5590000,บางขุนเทียน
184,83.7,3,6500000,บางขุนเทียน
185,70,4,24500000,บางขุนเทียน
186,109.1,4,9290000,บางขุนเทียน
187,17.5,3,3200000,บางขุนเทียน
188,29.6,3,5590000,บางขุนเทียน
189,19,6,4350000,บางขุนเทียน
190,63,5,6200000,บางขุนเทียน
191,19,4,4350000,บางขุนเทียน
192,50,3,6900000,บางขุนเทียน
193,200,5,95000000,บางขุนเทียน
194,16,2,1990000,บางขุนเทียน
195,156.5,5,49000000,บางขุนเทียน
196,74.4,4,6350000,บางขุนเทียน
197,51.9,4,6450000,บางขุนเทียน
198,60,3,4650000,บางขุนเทียน
199,18,2,2290000,บางขุนเทียน
200,120.3,3,19000000,บางขุนเทียน
201,110,4,5800000,บางขุนเทียน
202,30,4,3750000,บางขุนเทียน
203,88,4,9900000,บางขุนเทียน
204,33.3,3,6500000,บางขุนเทียน
205,80,4,12900000,บางขุนเทียน
206,300,3,19000000,บางขุนเทียน
207,31.1,3,6700000,บางแค
208,168.2,4,26000000,บางแค
209,85.6,5,10300000,บางแค
210,19,4,4100000,บางแค
211,19.2,4,3990000,บางแค
212,60,3,5290000,บางแค
213,27,3,2770000,บางแค
214,18,4,2290000,บางแค
